project,unit,type,parent,countries,status,start_year,capacity,geom,route,url
AKG-Ras Laffan NGL Pipeline,AKG-1-Ras Laffan NGL Pipeline (A),ngl_pipelines,ExxonMobil [100.00%],Qatar,operating,2005,2000,line,"26.071,51.991:25.8575,51.538889",https://www.gem.wiki/AKG-Ras_Laffan_NGL_Pipeline
AKG-Ras Laffan NGL Pipeline,AKG-1-Ras Laffan NGL Pipeline (B),ngl_pipelines,ExxonMobil [100.00%],Qatar,operating,2005,2000,line,"26.071,51.991:25.8575,51.538889",https://www.gem.wiki/AKG-Ras_Laffan_NGL_Pipeline
AKG-Ras Laffan NGL Pipeline,AKG-2-Ras Laffan NGL Pipeline (A),ngl_pipelines,ExxonMobil [100.00%],Qatar,operating,2009,1500,line,"26.071,51.991:25.8575,51.538889",https://www.gem.wiki/AKG-Ras_Laffan_NGL_Pipeline 
AKG-Ras Laffan NGL Pipeline,AKG-2-Ras Laffan Gas Pipeline (B),ngl_pipelines,ExxonMobil [100.00%],Qatar,operating,2009,1500,line,"26.071,51.991:25.8575,51.538889",https://www.gem.wiki/AKG-Ras_Laffan_NGL_Pipeline
Abqaiq-Yanbu NGL pipeline,,ngl_pipelines,Saudi Aramco [100.00%],Saudi Arabia,operating,1982,290000,line,"25.924365,49.67728:24.714277,46.692409:24.023207,38.19002:23.965193,38.245263",https://www.gem.wiki/Abqaiq-Yanbu_gas_pipeline
Appalachia to Texas Express Ethane Pipeline (ATEX),,ngl_pipelines,Enterprise Products Partners [100.00%],United States,operating,2014,,line,"29.84441,-94.8934:29.85216,-94.8746:29.86492,-94.8845:29.87085,-94.8837:29.89075,-94.85:29.9263,-94.8462:29.93116,-94.862:29.95428,-94.8613:29.97065,-94.7698:29.92819,-94.7512:29.91214,-94.6912:29.91235,-94.6718:29.91299,-94.6133:29.93692,-94.498:29.93777,-94.2742:29.96425,-94.2335:29.94714,-94.2039:29.98505,-94.0794:30.01813,-94.0402:30.11712,-93.9488:30.22429,-93.942:30.68076,-93.8374:32.10978,-93.1799:33.19973,-92.6738:34.72013,-92.1905:35.12944,-91.7591:36.30013,-90.5181:37.51387,-89.0814:38.07578,-88.1755:38.48645,-86.7332:39.00071,-85.9249:39.31986,-85.1182:39.3598,-84.8463:39.52593,-84.3197:39.64281,-83.073:39.75611,-82.6737:40.04653,-82.3564:40.1961,-81.8903:40.22281,-81.8062:40.27864,-81.2165:40.38482,-80.6539:40.29937,-80.2547:40.26271,-80.2584;37.51387,-89.0814:37.05174,-88.347",https://www.gem.wiki/Appalachia_to_Texas_Express_Ethane_Pipeline_(ATEX)
Arbuckle II Y-Grade Pipeline,,ngl_pipelines,OneOK Inc. [100.00%],United States,operating,2020,400000,line,"29.85577529,-94.8848716:29.88309299,-94.9011168:29.95444842,-94.9047196:29.99054498,-94.9119179:30.02194094,-94.9195984:30.03985964,-94.9368289:30.09434772,-94.9367067:30.13708179,-94.9377805:30.15630766,-94.9412621:30.1667584,-94.9538251:30.18556598,-94.9518971:30.19711103,-94.9479847:30.20714351,-94.9551392:30.22229682,-94.967227:30.24601661,-94.9675223:30.25730499,-94.9909311:30.27287543,-95.0084474:30.28311596,-95.0183218:30.29722424,-95.0168784:30.32716435,-95.005616:30.350258,-94.9977804:30.3741894,-95.0007861:30.39770154,-94.9983669:30.42398459,-95.0011285:30.45194658,-95.0256011:30.48570472,-95.0330712:30.50854433,-95.0526172:30.52903132,-95.0724134:30.55510905,-95.0724719:30.56854056,-95.0930044:30.57920083,-95.1083476:30.59608178,-95.1120963:30.61933512,-95.1371189:30.6233521,-95.1586366:30.62501339,-95.180397:30.64140767,-95.2088849:30.67868337,-95.2626944:30.71194916,-95.2949966:30.72853251,-95.3262577:30.74664576,-95.3463943:30.75534264,-95.3674851:30.76731551,-95.3690277:30.77109836,-95.387872:30.7892062,-95.40803:30.8303286,-95.4506264:30.84083514,-95.4963062:30.86384225,-95.6480085:30.86996963,-95.6996663:30.87921242,-95.7290249:30.88294918,-95.7479192:30.90062497,-95.7627145:30.92006645,-95.7690871:30.93734844,-95.7784234:30.94971945,-95.8185238:30.97740602,-95.840639:30.99232954,-95.8502197:30.99389165,-95.8721076:31.01530027,-95.8728056:31.04159967,-95.9088644:31.06711662,-95.9339892:31.07632157,-95.9634416:31.09908812,-95.9833354:31.12243205,-96.0114607:31.14442471,-96.0204086:31.16598306,-96.0570068:31.17280914,-96.08673:31.18982673,-96.1265453:31.1976653,-96.1368553:31.2074041,-96.1746109:31.23109904,-96.2083114:31.26535662,-96.2576318:31.28441164,-96.2931871:31.30628658,-96.335412:31.33467287,-96.3687594:31.34467233,-96.3761408:31.35976427,-96.3885908:31.3677747,-96.4016943:31.3685174,-96.4126979:31.38397799,-96.43066:31.39707647,-96.4488436:31.41197982,-96.4585596:31.4314197,-96.4650943:31.4574259,-96.4987403:31.48741368,-96.5209561:31.51141644,-96.5603643:31.56411335,-96.6027529:31.60027209,-96.6466732:31.64514484,-96.6787379:31.67239473,-96.6957384:31.68637404,-96.7278284:31.69944713,-96.746114:31.71852585,-96.7471917:31.75103663,-96.7720963:31.79206692,-96.8185166:31.83054576,-96.8624191:31.88065379,-96.9025489:31.91823111,-96.932673:31.95668768,-96.9766816:31.98698902,-97.004704:32.01728706,-97.0327444:32.03689989,-97.0421971:32.05502381,-97.065738:32.05405673,-97.0881508:32.06727152,-97.1093384:32.08887753,-97.1507515:32.10484116,-97.2164093:32.12143148,-97.2541039:32.13040546,-97.2840754:32.13683785,-97.3114738:32.15154011,-97.3186169:32.15103854,-97.3494027:32.17064012,-97.3589369:32.18432471,-97.3885434:32.19040198,-97.4104049:32.20323892,-97.4261134:32.22960094,-97.42951:32.24633112,-97.4309123:32.27216943,-97.465142:32.30173387,-97.4822823:32.32623144,-97.4942509:32.34362949,-97.5068134:32.3572907,-97.5365011:32.36824862,-97.5608163:32.38090911,-97.5737868:32.41217323,-97.5796241:32.43380508,-97.5834517:32.43985899,-97.6053907:32.45317496,-97.6295436:32.46395623,-97.6511053:32.47677473,-97.6668943:32.49399977,-97.6767159:32.50934681,-97.695115:32.51382962,-97.731246:32.52664081,-97.7470559:32.55381884,-97.7645201:32.58018765,-97.7680108:32.59520282,-97.780849:32.59918351,-97.8086309:32.60664766,-97.8558117:32.62277299,-97.8882592:32.64520275,-97.9061594:32.67236822,-97.9236928:32.68532095,-97.9423599:32.77279974,-97.9326122:32.82253863,-97.928656:32.86280285,-97.9254462:32.89580147,-97.9199907:32.93132766,-97.9171475:32.96054834,-97.9289163:32.98936945,-97.9336653:33.02300766,-97.9394418:33.05632623,-97.9395951:33.07370526,-97.9523301:33.09755035,-97.9532449:33.12187509,-97.9626033:33.15724326,-97.9569367:33.18614574,-97.9631021:33.21773693,-97.9747153:33.23732515,-97.9844669:33.28232876,-97.9808505:33.31990534,-97.9721564:33.36285985,-97.9743589:33.4119547,-97.95904:33.44748098,-97.9561562:33.49280335,-97.9581496:33.52294529,-97.9443321:33.57520993,-97.9429035:33.62069404,-97.9477112:33.67059032,-97.9464664:33.69884674,-97.9412997:33.72236608,-97.9365178:33.73845408,-97.9266487:33.76923976,-97.9241072:33.81913347,-97.9228305:33.85449074,-97.9170488:33.87817112,-97.9150828:33.89491142,-97.916545:33.91964341,-97.8916556:33.94365197,-97.89536:33.97223161,-97.8958276:34.00031588,-97.8877646:34.0427712,-97.8813458:34.09062388,-97.8859016:34.11617181,-97.8751697:34.15658919,-97.8746214:34.18466875,-97.8665228:34.21578141,-97.8696165",https://www.gem.wiki/Arbuckle_II_Y-Grade_Pipeline
Bakken NGL Pipeline,Stateline-to-Riverview Tioga Lateral,ngl_pipelines,OneOK Inc. [100.00%],United States,operating,2021,90000,line,"40.92619627,-104.420189:40.98152418,-104.415743:42.19634264,-104.479755:42.50656057,-104.355054:42.53827502,-104.357396:42.61091934,-104.365007:42.92839952,-104.354362:43.16969482,-104.331977:43.30274354,-104.301819:43.87673469,-104.298468:44.00220526,-104.365486:44.04798413,-104.395644:44.09372848,-104.370513:44.16959141,-104.33916:44.50870421,-104.272352:44.52632046,-104.217984:44.63959942,-104.20376:44.81524952,-104.22238:44.91661835,-104.262107:44.99685889,-104.321713:45.15452684,-104.287892:45.31598815,-104.185959:45.40812059,-104.290324:45.52989825,-104.281723:45.59006226,-104.341169:45.82179151,-104.343845:45.83607569,-104.282261:45.95022946,-104.254758:46.0134744,-104.259996:46.3710684,-104.351872:46.48358449,-104.365253:46.54251603,-104.367929:46.6087384,-104.351873:46.64144577,-104.353874:46.99528893,-104.220983:47.33728567,-104.068213:47.40983781,-104.061655:47.41556277,-104.061137:47.57772748,-104.123209:47.60323503,-104.146847:47.65239297,-104.151574:47.65502809,-104.166225:47.67081527,-104.173187",https://www.gem.wiki/Bakken_NGL_Pipeline
Bakken NGL Pipeline,,ngl_pipelines,OneOK Inc. [100.00%],United States,operating,2013,140000,line,"48.40651585,-102.914691:48.40553173,-102.905361:48.40337918,-102.900164:48.39858583,-102.899651:48.38759631,-102.897765:48.38659384,-102.908298:48.37262458,-102.908219:48.37268478,-102.916735:48.36501649,-102.915913:48.36456198,-102.925082:48.34884126,-102.931192:48.34895833,-102.948219:48.36384966,-102.949116:48.36390557,-103.044147:48.35086042,-103.044849:48.35074955,-103.066108:48.31223966,-103.065432:48.31256899,-103.087435:48.29904717,-103.088075:48.29940882,-103.10937:48.29215111,-103.109987:48.29210912,-103.120254:48.28868388,-103.121293:48.28748609,-103.172873:48.28572288,-103.179053:48.28475439,-103.21649:48.28700358,-103.219575:48.28595092,-103.258421:48.26859808,-103.258593:48.26307302,-103.262929:48.25736246,-103.261578:48.25795483,-103.314756:48.25364467,-103.314267:48.25327319,-103.330512:48.24888913,-103.33143:48.24846546,-103.375991:48.25356543,-103.379761:48.25288748,-103.401636:48.24846558,-103.403253:48.24757533,-103.41094:48.24039261,-103.410115:48.24071327,-103.458299:48.23664547,-103.471281:48.22897281,-103.479596:48.22909878,-103.495185:48.22701865,-103.506979:48.22633589,-103.519642:48.24081335,-103.519205:48.24110924,-103.540483:48.25215974,-103.541066:48.25614254,-103.538698:48.26888057,-103.543729:48.26978347,-103.553753:48.28709852,-103.554364:48.28667869,-103.562109:48.29585369,-103.561768:48.30056619,-103.563738:48.30476164,-103.566357:48.30336469,-103.583204:48.30445656,-103.589712:48.30171706,-103.595769:48.30117971,-103.605629:48.29763553,-103.608755:48.29811044,-103.62653:48.30123135,-103.631152:48.29990385,-103.646589:48.29283299,-103.652484:48.29286223,-103.669497:48.29801326,-103.672236:48.2976193,-103.731731:48.29550879,-103.735022:48.29595313,-103.779023:48.27752387,-103.781052:48.26974595,-103.78224:48.26591602,-103.781778:48.26017121,-103.781085:48.25482669,-103.781857:48.25496438,-103.805251:48.24974884,-103.820913:48.25007795,-103.840787:48.24557187,-103.843781:48.23879451,-103.852873:48.22839022,-103.874977:48.22811289,-103.888398:48.22580004,-103.895197:48.22574029,-103.90475:48.22350652,-103.910141:48.22326582,-103.922858:48.22649605,-103.925379:48.22589029,-103.952924",https://www.gem.wiki/Bakken_NGL_Pipeline
Belvieu Alternative for NGLs Y-Grade Pipeline (BANGL),,ngl_pipelines,Marathon Petroleum [unknown %]; WhiteWater Midstream [unknown %],United States,cancelled,2021,500000,line,"29.28971574,-94.9883159:29.3080114,-95.105454:29.3360218,-95.2271298:29.3364602,-95.2974154:29.28506773,-95.3726218:29.22890521,-95.4481976:29.16364201,-95.5299329:29.08982544,-95.6933344:29.03350849,-95.8387685:29.04227145,-95.8973732:29.18955692,-96.181724:29.38168043,-96.5065831:29.5209331,-96.7555564:29.69524628,-97.0405738:29.76744894,-97.214606:29.79808348,-97.2503706:29.82933448,-97.460595:29.89441743,-97.7722261:29.98150084,-98.1538937:30.06770199,-98.5391734:30.10389438,-98.6955943:30.18900577,-98.9861458:30.27780498,-99.2660779:30.3479651,-99.5695877:30.441679,-99.8833692:30.52273025,-100.13237:30.60236458,-100.354334:30.84843194,-100.936604:31.07906957,-101.480994:31.27185406,-101.929322:31.50301773,-102.462014:31.60881604,-102.76028:31.66329748,-102.876157:31.71277549,-102.983904",https://www.gem.wiki/Belvieu_Alternative_for_NGLs_Y-Grade_Pipeline_(BANGL)
Bluestem Y-Grade Pipeline,,ngl_pipelines,Williams Companies [100.00%],United States,operating,2020,120000,line,"38.3757801,-97.8252236:38.36835739,-97.8283791:38.35725291,-97.825853:38.34283632,-97.8236559:38.33085949,-97.8224261:38.32022823,-97.8198544:38.31229537,-97.8224534:38.30654356,-97.821815:38.30082141,-97.8139245:38.29132136,-97.8142623:38.28407618,-97.8125646:38.27158166,-97.8029335:38.26022617,-97.8040599:38.24959499,-97.8014918:38.23434337,-97.801193:38.2115214,-97.8016436:38.20096429,-97.8002757:38.19582609,-97.7941491:38.18530602,-97.7933817:38.17707768,-97.7911812:38.17321858,-97.7903574:38.16735594,-97.7879231:38.16306071,-97.7877456:38.15260673,-97.780341:38.13652025,-97.7819346:38.12414477,-97.7819545:38.11366183,-97.7817869:38.09935682,-97.7813947:38.09029329,-97.7810862:38.07784388,-97.7799079:38.06896514,-97.7825918:38.06099562,-97.784583:38.05338842,-97.7847318:38.04107976,-97.7781215:38.0227012,-97.7811388:37.9984233,-97.7811258:37.99284967,-97.77566:37.98167213,-97.7719505:37.95924311,-97.7633392:37.94875293,-97.7553569:37.92917008,-97.7542844:37.90158115,-97.7546018:37.87686784,-97.7552347:37.86118082,-97.755578:37.84261809,-97.7556032:37.82161593,-97.7546672:37.8044726,-97.7545515:37.79009432,-97.7529642:37.77961172,-97.7527938:37.77094792,-97.7512455:37.76093846,-97.7510285:37.75118099,-97.7471897:37.73927907,-97.7471586:37.72544778,-97.746717:37.71795137,-97.7486503:37.71158521,-97.7534683:37.70751091,-97.7568628:37.70048732,-97.7587481:37.69047279,-97.7507423:37.67951706,-97.7506165:37.65716924,-97.7510055:37.6268147,-97.7527734:37.61298334,-97.7523281:37.60384671,-97.7508262:37.59471413,-97.7571009:37.58751033,-97.7637843:37.57251262,-97.7598612:37.54011814,-97.759425:37.52075522,-97.7619042:37.50725051,-97.7590329:37.50150181,-97.766163:37.49065717,-97.7755778:37.47839192,-97.7851268:37.46004671,-97.7964532:37.44009942,-97.797182:37.40297127,-97.7971763:37.39030354,-97.8001847:37.37166512,-97.8067471:37.36176371,-97.8082937:37.34763942,-97.8108407:37.3356902,-97.8334464:37.3238589,-97.834576:37.31264013,-97.8457777:37.30153362,-97.8510065:37.2758561,-97.8671484:37.26100474,-97.8655788:37.24673428,-97.8657405:37.23609937,-97.8709155:37.22517769,-97.8713538:37.21530998,-97.8734775:37.2015484,-97.8741832:37.18713464,-97.8719751:37.15815578,-97.8729267:37.14912721,-97.8731839:37.13157907,-97.8742439:37.11814782,-97.8725375:37.09921539,-97.8743207:37.0900797,-97.8728038:37.0820783,-97.8664275:37.06689678,-97.8672629:37.05822501,-97.8734243:37.04490087,-97.8734889:37.03292538,-97.872239:37.01770798,-97.8724808:36.99346188,-97.8729756:36.98439759,-97.872639:36.97645792,-97.8751632:36.95359607,-97.874932:36.8931281,-97.8746594:36.84780668,-97.8729666:36.79789385,-97.8740666:36.73695233,-97.8738188:36.7046589,-97.8750436:36.68365494,-97.8740366:36.67748734,-97.8822905:36.66798495,-97.8825794:36.64754506,-97.8909682:36.62950614,-97.8997207:36.61463928,-97.9058147:36.60734608,-97.9112093:36.59824637,-97.9102752:36.58520191,-97.9150158:36.56749313,-97.9213626:36.5526941,-97.9286192:36.54864317,-97.9325298:36.54294281,-97.9407201:36.53733151,-97.9424125:36.53077329,-97.9441911:36.52053213,-97.9480745:36.51211483,-97.9506112:36.50792354,-97.9521724:36.49995827,-97.9623313:36.49134485,-97.9695993:36.48618379,-97.9789102:36.47520162,-97.9863894:36.4658359,-97.9890053:36.45680517,-97.9892331:36.44198886,-97.9882164:36.40670909,-97.9872817:36.39768842,-97.9957508:36.38825306,-97.9971902:36.37874865,-97.997458:36.37252422,-97.9968415:36.3634933,-97.9970663:36.35063991,-97.9970466:36.33927595,-97.9980691:36.33549656,-98.0066457:36.3230821,-98.0059959:36.3135431,-98.005676:36.29497302,-98.0055784:36.27927838,-98.0058101:36.2590273,-98.0176166:36.24052545,-98.0186831:36.22865295,-98.0191563:36.20396641,-98.028408:36.19314332,-98.0305468:36.17734547,-98.0290175:36.16320744,-98.0314498:36.12752057,-98.0316876:36.06612534,-98.0318564:36.04613378,-98.0318689:36.03250271,-98.0348338:36.01815975,-98.0337587:36.01075282,-98.037343:36.00020056,-98.0441333:35.99732677,-98.052002:35.98870156,-98.059205:35.9790947,-98.0659069:35.96695025,-98.0699019:35.95267386,-98.0781806:35.93646838,-98.0860393:35.92692856,-98.0857035:35.91606895,-98.0872385:35.90909928,-98.0901882:35.89779951,-98.0923453:35.8868051,-98.0915501:35.87658975,-98.0877624:35.85040566,-98.087708:35.83267965,-98.0857459:35.81390243,-98.0903043:35.79962623,-98.0903782",https://www.gem.wiki/Bluestem_Y-Grade_Pipeline
Camisea NGL Pipeline,,ngl_pipelines,CPPIB (Canada Pension Plan Investment Board) [49.87%]; Enagás [28.95%]; Sonatrach [21.18%],Peru,operating,2004,130000,line,"-11.840021,-72.945592:-12.4531,-73.085592:-13.074056,-73.777426:-13.242198,-74.354277:-13.603694,-75.353228:-13.723529,-75.91352:-13.768781,-76.229567",https://www.gem.wiki/Camisea_NGL_Pipeline
Chaparral NGL System,,ngl_pipelines,Enterprise Products Partners [100.00%],United States,operating,,135000,line,"32.46598,-102.01:32.65964,-100.968:32.63832,-100.759:32.47087,-100.152:32.22104,-99.4614:31.76224,-98.3812:31.28803,-97.2872:30.30089,-95.5717:29.98471,-95.0211:30.87462,-94.8534",https://www.gem.wiki/Chaparral_NGL_System
Compañero LPG Pipeline,,ngl_pipelines,Permico Energia [100.00%],United States,cancelled,2021,300000,line,"31.73910535,-103.729703:31.60417004,-103.40385:31.48569421,-103.03684:31.3987097,-102.823024:31.14960467,-102.572072:30.7039295,-102.079329:30.32993903,-101.657308:29.9486639,-101.231873:29.75124116,-101.00696:29.54117276,-100.769809:29.373799,-100.572588:29.14433172,-100.310909:28.94271709,-100.008409:28.73143139,-99.7785554:28.56836593,-99.5707333:28.48025224,-99.4539274:28.39970593,-99.2359031:28.38030178,-99.0619263:28.25581946,-98.8066846:28.12099359,-98.344683:27.99691945,-98.0039297:27.84445236,-97.4821385",https://www.gem.wiki/Compa%C3%B1ero_LPG_Pipeline
EPIC NGL Pipeline,,ngl_pipelines,Ares Management [50.00%]; Chevron [15.00%]; ARM Energy [5.00%],United States,operating,2019,600000,line,"27.766793,-97.525022:27.800043,-97.580811:27.835735,-97.708707:27.79112,-97.854449:27.734608,-97.899064:27.669172,-98.119164:27.624557,-98.369007:27.636455,-98.428494:27.746505,-98.544492:27.79112,-98.550441:27.829786,-98.618851:27.871427,-98.642645:27.930913,-98.636696:28.023117,-98.702132:28.198602,-98.92818:28.311627,-99.10664:28.388959,-99.192895:28.400857,-99.424893:28.338396,-99.540892:28.34137,-99.677711:28.287832,-99.772889:28.293781,-99.92458:28.368139,-99.921605:28.415728,-99.990015:28.493061,-100.007861:28.555522,-100.049501:28.612034,-100.058424:28.67152,-100.103039:29.009106,-100.227961:29.050747,-100.281499:29.154848,-100.311242:29.270847,-100.427241:29.354128,-100.570009:29.428486,-100.58488:29.517716,-100.638418:29.598023,-100.647341:29.651561,-100.6057:29.728893,-100.58488:29.779457,-100.614623:29.803251,-100.611649:29.832995,-100.567034:29.966839,-100.540265:29.996583,-100.519445:30.00848,-100.480779:30.047146,-100.47483:30.082838,-100.47483:30.127453,-100.498625:30.241965,-100.480779:30.3074,-100.58488:30.476936,-100.58488:30.509654,-100.6057:30.607807,-100.754417:30.63755,-100.837698:30.762472,-101.066721:30.863599,-101.084567:30.994469,-101.251129:30.994469,-101.322513:31.052468,-101.447435:31.269594,-101.670509:31.305286,-101.73297:31.364773,-101.75379:31.373696,-101.795431:31.528361,-101.929276:31.417924,-102.396364:31.40793,-102.494874:31.347968,-102.663339:31.279439,-102.778981:31.276584,-102.851793:31.249458,-102.880346:31.292288,-103.103064:31.280867,-103.280096:31.24803,-103.328637:31.240892,-103.431429:31.30371,-103.509952:31.462182,-103.641298:31.561405,-103.871154:31.784123,-103.872581:31.998274,-104.120997:32.066803,-104.120997:32.178876,-104.152406:32.263108,-104.133846",https://www.gem.wiki/EPIC_NGL_Pipeline
EPIC Purity Ethane Pipeline,,ngl_pipelines,Ares Management [unknown %]; Chevron [unknown %]; FS Investments [unknown %],United States,operating,2020,120000,line,"28.48529,-96.976481:28.25486,-97.187508:28.234255,-97.232192:28.164618,-97.282694;28.485584,-96.976358:28.254841,-97.187494:28.244695,-97.220114:28.193534,-97.270577:28.152157,-97.28641:28.131733,-97.315248:28.05955,-97.340127:27.989474,-97.342631:27.95037,-97.375216;27.927964,-97.328873:27.95037,-97.375216;27.950364,-97.375215:27.910738,-97.427038:27.909057,-97.613116:27.825908,-97.604869;27.950367,-97.375184:27.927978,-97.3289;28.4853,-96.976503:28.254834,-97.187488:28.244687,-97.220109:28.193528,-97.270569:28.152148,-97.286402:28.131729,-97.31524:28.059548,-97.340117:27.989472,-97.342622:27.950367,-97.375184;28.485303,-96.976512:28.524629,-96.973507:28.556046,-96.949688:28.666667,-96.792204:28.763126,-96.722768:28.832694,-96.624658:28.856723,-96.484434:28.941821,-96.309406:28.947182,-96.242114:28.985839,-96.143501;28.985847,-96.143501:28.947174,-96.242111:28.941813,-96.309401:28.856714,-96.484432:28.832689,-96.624649:28.763125,-96.722754:28.666666,-96.792191:28.556041,-96.94968:28.524629,-96.973493:28.4853,-96.976503;28.947203,-96.242121:28.941843,-96.309422:28.856744,-96.484442:28.846598,-96.600358:28.804017,-96.670617:28.763129,-96.722804:28.672843,-96.785052:28.6001,-96.903985:28.539334,-96.966127:28.48529,-96.976481",https://www.gem.wiki/EPIC_Purity_Ethane_Pipeline
Fahud–Sohar NGL Pipeline,,ngl_pipelines,Government of Oman [unknown %]; Oman Oil Company [unknown %],Oman,operating,2021,,line,"22.309248,56.49767:24.483609,56.608625",https://www.gem.wiki/Fahud%E2%80%93Sohar_NGL_Pipeline
